               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10867,            0.031483,            0.039379,           0.0020687,             0.44286,            0.003131,           0.0010797,            0.060859,            0.018696,            0.023575,              0.0937,              0.0007,              0.0007
                   1,            0.098633,            0.029905,            0.038502,           0.0039485,             0.82857,            0.024025,           0.0053133,            0.050103,            0.015388,             0.02233,            0.086485,           0.0014853,           0.0014853
                   2,            0.081619,            0.029466,            0.037212,           0.0048183,                   1,             0.13105,            0.048197,            0.039708,            0.013825,            0.019505,            0.079255,           0.0022549,           0.0022549
                   3,            0.074012,            0.028335,            0.031751,            0.080281,                 0.8,              0.3389,              0.1171,             0.03578,            0.011734,            0.016452,            0.072009,           0.0030088,           0.0030088
                   4,            0.065269,            0.026522,            0.029749,             0.24639,                 0.8,             0.43341,             0.14928,            0.030829,            0.011646,            0.014035,            0.064747,           0.0037471,           0.0037471
                   5,            0.060277,            0.023677,            0.026755,             0.19657,             0.79449,             0.37656,             0.09915,            0.039841,           0.0099297,            0.013779,             0.05747,           0.0044697,           0.0044697
                   6,            0.059614,            0.022405,            0.028457,             0.53766,             0.62857,             0.62234,             0.20643,            0.035341,            0.008991,             0.01263,            0.050177,           0.0051765,           0.0051765
                   7,            0.054475,            0.020909,            0.025227,             0.85602,             0.59591,             0.70971,             0.30571,            0.035343,           0.0079215,            0.011217,            0.042868,           0.0058677,           0.0058677
                   8,            0.054572,            0.020215,            0.023646,             0.68751,             0.45714,             0.55384,             0.21879,            0.040082,           0.0074663,           0.0085236,            0.035543,           0.0065432,           0.0065432
                   9,            0.058992,            0.018712,            0.017254,             0.60956,             0.79195,             0.76855,             0.28793,            0.052991,           0.0058639,           0.0072029,            0.028203,           0.0072031,           0.0072031
                  10,            0.062243,            0.017955,            0.016496,             0.46945,                 0.7,             0.63235,             0.35403,            0.036106,            0.006587,           0.0063332,            0.020847,           0.0078472,           0.0078472
                  11,             0.05881,            0.017857,            0.018943,             0.45869,                 0.8,               0.835,             0.34511,            0.040343,           0.0064516,           0.0044895,            0.013476,           0.0084757,           0.0084757
                  12,            0.058057,            0.019147,            0.014932,             0.51324,                 0.7,             0.69704,             0.38204,            0.029704,           0.0068951,           0.0031002,           0.0088238,           0.0088238,           0.0088238
                  13,            0.051235,            0.017237,            0.015958,             0.58573,             0.55714,             0.56561,             0.20724,            0.035604,            0.007205,           0.0037113,           0.0088238,           0.0088238,           0.0088238
                  14,            0.055159,            0.017748,            0.014078,             0.34645,             0.58311,             0.53037,              0.2708,            0.036342,           0.0075493,           0.0051281,           0.0087257,           0.0087257,           0.0087257
                  15,            0.053776,            0.018386,            0.011824,             0.67957,             0.35714,             0.36117,             0.16073,            0.031398,           0.0085297,            0.011868,           0.0086277,           0.0086277,           0.0086277
                  16,             0.04939,            0.018837,            0.014299,             0.43854,             0.45714,             0.43817,             0.17592,            0.041798,           0.0085278,           0.0072372,           0.0085297,           0.0085297,           0.0085297
